date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:41	371/371	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:40%20GMT	https://scamcrows.github.io/raids/thief	C:/My%20Web%20Sites/snowcrows/raids/thief	(from https://scamcrows.github.io/)
19:19:41	373/373	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:41%20GMT	https://scamcrows.github.io/raids/warrior	C:/My%20Web%20Sites/snowcrows/raids/warrior	(from https://scamcrows.github.io/)
19:19:41	162009/162009	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:41%20GMT	https://scamcrows.github.io/raids/elementalist/	C:/My%20Web%20Sites/snowcrows/raids/elementalist/index.html	(from https://scamcrows.github.io/)
19:19:41	374/374	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:41%20GMT	https://scamcrows.github.io/raids/guardian	C:/My%20Web%20Sites/snowcrows/raids/guardian	(from https://scamcrows.github.io/)
19:19:41	374/374	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:41%20GMT	https://scamcrows.github.io/raids/revenant	C:/My%20Web%20Sites/snowcrows/raids/revenant	(from https://scamcrows.github.io/)
19:19:42	381/381	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:41%20GMT	https://scamcrows.github.io/fractals/elementalist	C:/My%20Web%20Sites/snowcrows/fractals/elementalist	(from https://scamcrows.github.io/)
19:19:42	367/367	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:42%20GMT	https://scamcrows.github.io/slaying	C:/My%20Web%20Sites/snowcrows/slaying	(from https://scamcrows.github.io/)
19:19:42	152046/152046	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:42%20GMT	https://scamcrows.github.io/raids/mesmer/	C:/My%20Web%20Sites/snowcrows/raids/mesmer/index.html	(from https://scamcrows.github.io/)
19:19:42	1632/1632	---M--	200	added ('OK')	image/png	etag:%22660-55e499783c726%22	https://scamcrows.github.io/assets/images/lucky-noobs_2.png	C:/My%20Web%20Sites/snowcrows/assets/images/lucky-noobs_2.png	(from https://scamcrows.github.io/)
19:19:42	370/370	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Feb%202018%2023:19:42%20GMT	https://scamcrows.github.io/newtoraids	C:/My%20Web%20Sites/snowcrows/newtoraids	(from https://scamcrows.github.io/)
